internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22679393,Polyplectron schleiermacheri,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Polyplectron,schleiermacheri,,,,,"Brüggemann, 1877",
22720960,Emberiza rustica,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,EMBERIZIDAE,Emberiza,rustica,,,,,"Pallas, 1776",
22728245,Chlamydotis undulata,ANIMALIA,CHORDATA,AVES,OTIDIFORMES,OTIDIDAE,Chlamydotis,undulata,,,,,"(Jacquin, 1784)","<p><em>Chlamydotis undulata </em>and<em> C. macqueenii </em>(del Hoyo and Collar 2014) were previously lumped as <em>C. undulata </em>following Sibley and Monroe (1990, 1993).<em> &#160;</em></p>"
22678194,Crypturellus kerriae,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,TINAMIDAE,Crypturellus,kerriae,,,,,"(Chapman, 1915)",
22678217,Crypturellus noctivagus,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,TINAMIDAE,Crypturellus,noctivagus,,,,,"(Wied, 1820)",
22678398,Penelope jacucaca,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Penelope,jacucaca,,,,,"Spix, 1825",
22678440,Aburria aburri,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Aburria,aburri,,,,,"(Lesson, 1828)",
22678464,Mitu tomentosum,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Mitu,tomentosum,,,,,"(Spix, 1825)",
22678497,Pauxi pauxi,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Pauxi,pauxi,,,,,"(Linnaeus, 1766)",
22678537,Crax globulosa,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Crax,globulosa,,,,,"Spix, 1825",
22678544,Crax blumenbachii,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Crax,blumenbachii,,,,,"Spix, 1825",
22678615,Megapodius layardi,ANIMALIA,CHORDATA,AVES,GALLIFORMES,MEGAPODIIDAE,Megapodius,layardi,,,,,"Tristram, 1879",
22678733,Ortygornis gularis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Ortygornis,gularis,,,,,"(Temminck, 1815)","Previously (del Hoyo and Collar 2014) listed as <em>Francolinus gularis</em> but moved to current genus following Kimball <em>et al.</em> (2021). Birds from W of range (Uttar Pradesh) described as a geographical subspecies, <em>ridibundus</em>, but generally considered not worthy of recognition. Monotypic."
22678756,Scleroptila streptophora,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Scleroptila,streptophora,,,,,"(Ogilvie-Grant, 1891)",<em>Scleroptila streptophora</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Francolinus </em>as&#160;<em>F. streptophorus</em>.
22678896,Pternistis swierstrai,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Pternistis,swierstrai,,,,,"(Roberts, 1929)",<em>Pternistis swierstrai</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Francolinus</em>.
22678993,Anurophasis monorthonyx,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Anurophasis,monorthonyx,,,,,"van Oort, 1910",
22679023,Arborophila atrogularis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,atrogularis,,,,,"(Blyth, 1850)",
22679035,Arborophila rufipectus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,rufipectus,,,,,"Boulton, 1932",
22679050,Arborophila gingica,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,gingica,,,,,"(Gmelin, 1789)",
22679063,Arborophila ardens,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Arborophila,ardens,,,,,"(Styan, 1892)",
22679094,Caloperdix oculeus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Caloperdix,oculeus,,,,,"(Temminck, 1815)",
22679157,Tragopan satyra,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tragopan,satyra,,,,,"(Linnaeus, 1758)",
22679185,Lophophorus sclateri,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lophophorus,sclateri,,,,,"Jerdon, 1870",
22679292,Crossoptilon crossoptilon,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Crossoptilon,crossoptilon,,,,,"(Hodgson, 1838)",
22679299,Crossoptilon mantchuricum,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Crossoptilon,mantchuricum,,,,,"Swinhoe, 1863",
22679325,Syrmaticus ellioti,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Syrmaticus,ellioti,,,,,"(Swinhoe, 1872)",
22679330,Syrmaticus humiae,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Syrmaticus,humiae,,,,,"(Hume, 1881)",
22679336,Syrmaticus mikado,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Syrmaticus,mikado,,,,,"(Ogilvie-Grant, 1906)",
22679340,Syrmaticus soemmerringii,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Syrmaticus,soemmerringii,,,,,"(Temminck, 1830)",
22679365,Polyplectron inopinatum,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Polyplectron,inopinatum,,,,,"(Rothschild,1903)",
22679372,Polyplectron germaini,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Polyplectron,germaini,,,,,"Elliot, 1866",
22679483,Lyrurus mlokosiewiczi,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lyrurus,mlokosiewiczi,,,,,"(Taczanowski, 1875)",<em>Lyrurus mlokosiewiczi</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Tetrao</em>.
22679503,Centrocercus urophasianus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Centrocercus,urophasianus,,,,,"(Bonaparte, 1827)",
22679650,Odontophorus atrifrons,ANIMALIA,CHORDATA,AVES,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,atrifrons,,,,,"Allen, 1900",
22679663,Odontophorus melanonotus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,melanonotus,,,,,"Gould, 1860",
22679683,Odontophorus columbianus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,columbianus,,,,,"(Gould, 1850)",
22679726,Chauna chavaria,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANHIMIDAE,Chauna,chavaria,,,,,"(Linnaeus, 1766)",
22679869,Anser cygnoid,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,cygnoid,,,,,"(Linnaeus, 1758)",<em>A. cygnoid</em>&#160;(del Hoyo and Collar 2014) was previously listed as&#160;<em>A. cygnoides</em>.
22679919,Anser canagicus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,canagicus,,,,,"(Sevastianov, 1802)",<em>Anser canagicus</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Chen</em>.
22679987,Neochen jubata,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Neochen,jubata,,,,,"(Spix, 1825)",
22680153,Mareca falcata,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mareca,falcata,,,,,"(Georgi, 1775)",<em>Mareca falcata</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Anas</em>.
22680214,Anas luzonica,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,luzonica,,,,,"Fraser, 1839",
22680306,Anas eatoni,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,eatoni,,,,,"(Sharpe, 1875)",
